data_generacji,data_waluty,zloto_cena
2025-01-04 22:42:32.883250+00:00,2014-07-22,129.46
2025-01-04 22:43:42.791928+00:00,2015-12-09,137.46
2025-01-04 22:48:24.468371+00:00,2019-06-27,169.46
2025-01-04 22:54:18.892891+00:00,2024-10-01,322.92
2025-01-04 22:41:21.238949+00:00,2013-10-22,129.71
2025-01-04 22:43:01.533852+00:00,2015-02-12,145.96
2025-01-04 22:43:10.212382+00:00,2015-04-15,145.96
2025-01-04 22:44:23.295011+00:00,2016-09-19,161.96
2025-01-04 22:50:31.361237+00:00,2021-12-13,233.96
2025-01-04 22:41:23.261625+00:00,2013-11-06,130.21
2025-01-04 22:53:20.951743+00:00,2023-08-09,250.21
2025-01-04 22:52:17.523626+00:00,2022-05-18,260.42
2025-01-04 22:53:47.427106+00:00,2024-02-22,260.42
2025-01-04 22:52:23.973402+00:00,2022-07-04,260.67
2025-01-04 22:41:29.618241+00:00,2013-12-20,117.23
2025-01-04 22:41:27.324327+00:00,2013-12-04,121.23
2025-01-04 22:43:38.224604+00:00,2015-11-06,138.46
2025-01-04 22:45:32.148597+00:00,2018-01-18,146.46
2025-01-04 22:53:47.282839+00:00,2024-02-21,260.92
2025-01-04 22:52:58.040092+00:00,2023-03-10,261.17
2025-01-04 22:53:30.443761+00:00,2023-10-18,261.17
2025-01-04 22:43:28.125357+00:00,2015-08-24,138.71
2025-01-04 22:47:49.576568+00:00,2018-10-18,146.71
2025-01-04 22:43:27.730086+00:00,2015-08-21,138.96
2025-01-04 22:47:25.349581+00:00,2018-04-25,146.96
2025-01-04 22:49:17.936470+00:00,2020-07-16,226.96
2025-01-04 22:49:06.759386+00:00,2020-04-24,234.96
2025-01-04 22:53:37.019233+00:00,2023-12-07,261.92
2025-01-04 22:54:18.138848+00:00,2024-09-26,326.17
2025-01-04 22:41:03.334442+00:00,2013-06-19,139.21
2025-01-04 22:44:41.599765+00:00,2017-01-31,155.21
2025-01-04 22:49:30.402640+00:00,2020-10-15,235.21
2025-01-04 22:53:33.179606+00:00,2023-11-08,262.67
2025-01-04 22:43:24.673198+00:00,2015-07-29,131.46
2025-01-04 22:47:53.336690+00:00,2018-11-15,147.46
2025-01-04 22:45:06.155034+00:00,2017-07-28,147.46
2025-01-04 22:50:14.098620+00:00,2021-08-12,219.46
2025-01-04 22:54:11.231454+00:00,2024-08-13,311.17
2025-01-04 22:42:08.706145+00:00,2014-02-11,125.98
2025-01-04 22:41:13.288208+00:00,2013-08-27,140.21
2025-01-04 22:43:17.917484+00:00,2015-06-11,140.46
2025-01-04 22:47:20.092138+00:00,2018-03-27,148.46
2025-01-04 22:43:53.915586+00:00,2016-02-22,156.46
2025-01-04 22:48:27.360427+00:00,2019-07-18,172.46
2025-01-04 22:54:12.348273+00:00,2024-08-21,313.17
2025-01-04 22:41:05.373306+00:00,2013-07-02,132.71
2025-01-04 22:52:28.319872+00:00,2022-08-05,265.67
2025-01-04 22:43:17.649393+00:00,2015-06-09,140.96
2025-01-04 22:44:26.564250+00:00,2016-10-13,156.96
2025-01-04 22:44:24.224822+00:00,2016-09-26,164.96
2025-01-04 22:41:03.194416+00:00,2013-06-18,141.21
2025-01-04 22:45:11.429561+00:00,2017-08-28,149.21
