data_generacji,kryptowaluta_data,kryptowaluta_cena,kryptowaluta_waluta,kryptowaluta_nazwa,kryptowaluta_kod
2024-08-22 10:00:04+00:00,2024-08-22,1343.21,PLN,BITCOIN CASH,bch
2024-08-10 10:00:05+00:00,2024-08-10,1392.49,PLN,BITCOIN CASH,bch
2023-11-09 10:02:19+00:00,2023-11-09,1037.33,PLN,BITCOIN CASH,bch
2024-01-28 10:04:53+00:00,2024-01-28,978.68,PLN,BITCOIN CASH,bch
2024-07-09 10:00:05+00:00,2024-07-09,1319.84,PLN,BITCOIN CASH,bch
2024-07-02 10:02:57+00:00,2024-07-02,1559.41,PLN,BITCOIN CASH,bch
2024-06-01 10:03:44+00:00,2024-06-01,1806.05,PLN,BITCOIN CASH,bch
2024-06-17 10:01:49+00:00,2024-06-17,1712.98,PLN,BITCOIN CASH,bch
2024-12-30 10:00:02+00:00,2024-12-30,1837.58,PLN,BITCOIN CASH,bch
2024-10-01 10:00:03+00:00,2024-10-01,1333.28,PLN,BITCOIN CASH,bch
2023-10-13 10:03:56+00:00,2023-10-13,919.03,PLN,BITCOIN CASH,bch
2024-04-03 10:04:47+00:00,2024-04-03,2429.69,PLN,BITCOIN CASH,bch
2023-10-23 10:03:11+00:00,2023-10-23,1028.18,PLN,BITCOIN CASH,bch
2023-11-01 10:00:15+00:00,2023-11-01,1016.45,PLN,BITCOIN CASH,bch
2024-06-18 10:00:04+00:00,2024-06-18,1593.46,PLN,BITCOIN CASH,bch
2023-12-04 10:00:19+00:00,2023-12-04,1003.66,PLN,BITCOIN CASH,bch
2024-07-21 10:00:05+00:00,2024-07-21,1545.09,PLN,BITCOIN CASH,bch
2024-08-05 10:00:04+00:00,2024-08-05,1192.79,PLN,BITCOIN CASH,bch
2023-12-20 10:00:02+00:00,2023-12-20,904.16,PLN,BITCOIN CASH,bch
2024-12-18 10:01:42+00:00,2024-12-18,2108.96,PLN,BITCOIN CASH,bch
2024-11-21 10:03:19+00:00,2024-11-21,2147.5,PLN,BITCOIN CASH,bch
2023-09-29 20:00:25+00:00,2023-09-29,1012.36,PLN,BITCOIN CASH,bch
2024-04-21 10:00:03+00:00,2024-04-21,2082.19,PLN,BITCOIN CASH,bch
2024-04-30 10:01:25+00:00,2024-04-30,1856.86,PLN,BITCOIN CASH,bch
2024-12-03 10:00:03+00:00,2024-12-03,2181.58,PLN,BITCOIN CASH,bch
2024-08-15 10:00:04+00:00,2024-08-15,1299.06,PLN,BITCOIN CASH,bch
2024-06-12 10:00:04+00:00,2024-06-12,1798.25,PLN,BITCOIN CASH,bch
2023-12-15 10:00:04+00:00,2023-12-15,914.25,PLN,BITCOIN CASH,bch
2024-06-24 10:00:04+00:00,2024-06-24,1497.34,PLN,BITCOIN CASH,bch
2024-11-26 10:01:42+00:00,2024-11-26,2003.56,PLN,BITCOIN CASH,bch
2023-11-16 10:02:13+00:00,2023-11-16,962.88,PLN,BITCOIN CASH,bch
2024-02-07 10:05:10+00:00,2024-02-07,948.79,PLN,BITCOIN CASH,bch
2023-11-23 10:02:08+00:00,2023-11-23,904.44,PLN,BITCOIN CASH,bch
2024-07-11 10:04:00+00:00,2024-07-11,1349.73,PLN,BITCOIN CASH,bch
2023-10-04 10:04:19+00:00,2023-10-04,1014.71,PLN,BITCOIN CASH,bch
2023-12-21 10:00:02+00:00,2023-12-21,915.68,PLN,BITCOIN CASH,bch
2024-09-30 10:02:00+00:00,2024-09-30,1332.54,PLN,BITCOIN CASH,bch
2024-12-09 10:03:24+00:00,2024-12-09,2433.25,PLN,BITCOIN CASH,bch
2024-09-24 10:02:10+00:00,2024-09-24,1309.19,PLN,BITCOIN CASH,bch
