data_generacji,mieszkania_cena_rok,mieszkania_cena_wojewodztwo,mieszkania_cena_metr_kwadratowy,mieszkania_cena_waluta
2025-01-21 22:48:12.973968+00:00,2022,WIELKOPOLSKIE,6350.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,ZACHODNIOPOMORSKIE,6950.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,DOLNOŚLĄSKIE,6928.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,OPOLSKIE,4903.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,KUJAWSKO-POMORSKIE,5568.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,POMORSKIE,8067.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,WARMIŃSKO-MAZURSKIE,5363.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,ŁÓDZKIE,6145.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,ŚWIĘTOKRZYSKIE,5880.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,LUBELSKIE,6452.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,PODKARPACKIE,5622.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,PODLASKIE,6082.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,MAZOWIECKIE,9651.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,MAŁOPOLSKIE,10446.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,ŚLĄSKIE,5826.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,LUBUSKIE,5461.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,WIELKOPOLSKIE,6917.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,ZACHODNIOPOMORSKIE,6945.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,DOLNOŚLĄSKIE,7607.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,OPOLSKIE,5217.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,KUJAWSKO-POMORSKIE,6010.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,POMORSKIE,8571.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,WARMIŃSKO-MAZURSKIE,5959.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,ŁÓDZKIE,6797.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,ŚWIĘTOKRZYSKIE,6513.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,LUBELSKIE,7460.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,PODKARPACKIE,6330.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,PODLASKIE,7101.0,PLN
2025-01-21 22:48:17.186963+00:00,2023,MAZOWIECKIE,10317.0,PLN
